repeat_idx,enzyme1,enzyme2,ring,fragment_length,in_optimal_set
0,FspI,FspI,A,3090,false
0,FspI,FspI,A,3090,false
0,FspI,FspI,A,3090,false
0,FspI,FspI,A,3090,false
0,DraIII,DraIII,A,5125,false
0,DraIII,DraIII,A,5125,false
0,DraIII,DraIII,A,5125,false
0,DraIII,DraIII,A,5125,false
0,BstBI,BstBI,A,2868,false
0,BstBI,BstBI,A,2868,false
0,BstBI,BstBI,A,2868,false
0,BstBI,BstBI,A,2868,false
0,BpmI,BpmI,A,1439,true
0,BpmI,BpmI,A,5657,true
0,BpmI,BpmI,A,5838,true
0,BpmI,BpmI,A,1439,true
0,BpmI,BpmI,A,5657,true
0,BpmI,BpmI,A,5838,true
0,BpmI,BpmI,A,1439,true
0,BpmI,BpmI,A,5657,true
0,BpmI,BpmI,A,5838,true
0,BpmI,BpmI,A,1439,true
0,BpmI,BpmI,A,5657,true
0,BpmI,BpmI,A,5838,true
0,BpmI,BpmI,A,1439,true
0,BpmI,BpmI,A,5657,true
0,BpmI,BpmI,A,5838,true
0,BpmI,BpmI,A,5657,true
0,BpmI,BpmI,A,5838,true
0,BpmI,BpmI,A,5657,true
0,BpmI,BpmI,A,5838,true
0,BpmI,BpmI,A,5657,true
0,BpmI,BpmI,A,5838,true
0,BpmI,BpmI,A,5657,true
0,BpmI,BpmI,A,5657,true
0,BpmI,BpmI,A,5838,true
0,BpmI,BpmI,A,4218,true
0,BpmI,BpmI,A,4218,true
0,BpmI,BpmI,A,5838,true
0,BpmI,BpmI,A,1439,true
0,BpmI,BpmI,A,5838,true
0,BpmI,BpmI,A,1439,true
0,BpmI,BpmI,A,5838,true
0,BpmI,BpmI,A,5838,true
0,BpmI,BpmI,A,5838,true
0,BpmI,BpmI,A,5838,true
0,BpmI,BpmI,A,4399,true
0,BpmI,BpmI,A,4399,true
0,BpmI,BpmI,A,5657,true
0,BpmI,BpmI,A,1439,true
0,BpmI,BpmI,A,5657,true
0,BpmI,BpmI,A,1439,true
0,BpmI,BpmI,A,5657,true
0,BpmI,BpmI,A,4218,true
0,BpmI,BpmI,A,4399,true
0,BpmI,BpmI,A,4218,true
0,BpmI,BpmI,A,4399,true
0,BpmI,BpmI,A,4218,true
0,BpmI,BpmI,A,4399,true
0,BpmI,BpmI,A,4218,true
0,BpmI,BpmI,A,4399,true
0,BpmI,BpmI,A,1439,true
0,BpmI,BpmI,A,4218,true
0,BpmI,BpmI,A,4399,true
0,BpmI,BpmI,A,4218,true
0,BpmI,BpmI,A,4399,true
0,BpmI,BpmI,A,4218,true
0,BpmI,BpmI,A,4399,true
0,BpmI,BpmI,A,4218,true
0,BpmI,BpmI,A,4399,true
0,BpmI,BpmI,A,5657,true
0,BpmI,BpmI,A,5657,true
0,BpmI,BpmI,A,5657,true
0,BpmI,BpmI,A,4218,true
0,BpmI,BpmI,A,4218,true
0,BpmI,BpmI,A,4399,true
0,BpmI,BpmI,A,4399,true
0,BpmI,BpmI,A,4399,true
0,BpmI,BpmI,A,5838,true
0,BpmI,BpmI,A,5838,true
0,BpmI,BpmI,A,5838,true
0,BpmI,BpmI,A,4399,true
0,BpmI,BpmI,A,4399,true
0,BpmI,BpmI,A,4399,true
0,BpmI,BpmI,A,4218,true
0,BpmI,BpmI,A,4218,true
0,BpmI,BpmI,A,1439,true
0,BpmI,BpmI,A,1439,true
0,BpmI,BpmI,A,1439,true
0,BpmI,BpmI,A,5657,true
0,BpmI,BpmI,A,5657,true
0,BpmI,BpmI,A,5657,true
