id,start1,end1,start2,end2,length,distance
1,15339,15409,402676,402746,70,387267
2,15339,15409,3590362,3590432,70,433669
3,15340,15409,769790,769859,69,754381
4,15340,15409,1002502,1002571,69,987093
5,15340,15409,1002665,1002734,69,987256
6,15340,15409,1464154,1464223,69,1448745
7,15340,15409,2145324,2145393,69,1878709
8,15340,15409,2203846,2203915,69,1820187
9,15340,15409,2400847,2400916,69,1623186
10,15342,15409,3564487,3564554,67,459550
11,15346,15409,1487217,1487280,63,1471808
12,15348,15409,402815,402876,61,387406
13,15348,15409,563355,563416,61,547946
14,15348,15409,769659,769720,61,754250
15,15348,15409,1464028,1464089,61,1448619
16,15348,15409,3392990,3393051,61,631059
17,15348,15409,3393184,3393245,61,630865
18,15348,15409,3416431,3416492,61,607618
19,15351,15414,155392,155455,63,139978
20,15351,15413,1819290,1819352,62,1803877
21,15351,15413,1995047,1995109,62,1979634
22,15351,15414,2770055,2770118,63,1253995
23,15351,15413,2937763,2937825,62,1086288
24,15351,15413,2938052,2938114,62,1085999
25,15352,15414,575880,575942,62,560466
26,15352,15414,601068,601130,62,585654
27,15352,15409,1286863,1286920,57,1271454
28,15352,15414,1733100,1733162,62,1717686
29,15352,15414,1954333,1954395,62,1938919
30,15352,15414,2113842,2113904,62,1910210
31,15352,15414,2239246,2239308,62,1784806
32,15352,15410,2741916,2741974,58,1282140
33,15352,15414,2924771,2924833,62,1099281
34,15352,15409,3237825,3237882,57,786232
35,15352,15414,3665642,3665704,62,358410
36,15352,15414,3995480,3995542,62,28572
37,15359,15409,3547250,3547300,50,476821
38,24544,24631,564352,564439,87,539721
39,24854,24922,1063594,1063662,68,1038672
40,24908,24973,1063657,1063722,65,1038684
41,81745,82781,1011615,1012651,1036,928834
42,120520,120585,242815,242880,65,122230
43,121797,122002,121829,122034,205,4008525
44,121797,121970,121861,122034,173,4008525
45,121797,121938,121893,122034,141,4008525
46,133691,133769,2018476,2018554,78,1884707
47,155389,155456,2770052,2770119,67,1394032
48,155392,155450,402688,402746,58,247238
49,155392,155450,402818,402876,58,247368
50,155392,155450,563358,563416,58,407908
51,155392,155450,769662,769720,58,614212
52,155392,155450,769801,769859,58,614351
53,155392,155450,1002513,1002571,58,847063
54,155392,155450,1002676,1002734,58,847226
55,155392,155450,1464031,1464089,58,1308581
56,155392,155450,1464165,1464223,58,1308715
57,155392,155450,1487222,1487280,58,1331772
58,155392,155454,1819290,1819352,62,1663836
59,155392,155454,1995047,1995109,62,1839593
60,155392,155450,2145335,2145393,58,1989885
61,155392,155450,2203857,2203915,58,1960239
62,155392,155450,2400858,2400916,58,1763238
63,155392,155454,2937763,2937825,62,1226329
64,155392,155454,2938052,2938114,62,1226040
65,155392,155450,3392993,3393051,58,771103
66,155392,155450,3393187,3393245,58,770909
67,155392,155450,3416434,3416492,58,747662
68,155392,155450,3564496,3564554,58,599600
69,155392,155450,3590374,3590432,58,573722
70,155393,155456,575880,575943,63,420424
71,155393,155456,601068,601131,63,445612
72,155393,155450,1286863,1286920,57,1131413
73,155393,155456,1733100,1733163,63,1577644
